type,subtype,add,vectorizer1,model1,vectorizer2,model2,fold,time,f1_micro,f1_macro,b1,recall_micro,hamming,avg_labels_true,avg_labels_pred,config
text,,,tfidf,logistic,,,4,988.080108165741,0.6112266112266113,0.5518298690950423,0.5988894479918767,0.6549210206561361,0.1206734717822363,2.607180570221753,2.979936642027455,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,5,988.080108165741,0.629154078549849,0.5453431185896401,0.6115130523692891,0.6747671121911705,0.1153394409208362,2.609936575052854,2.988372093023256,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,6,988.080108165741,0.632472185555346,0.5512705527288089,0.6230401264227902,0.6789473684210526,0.1144585388771435,2.610993657505285,2.9947145877378434,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,7,988.080108165741,0.628735632183908,0.5501047462375727,0.6188216997942158,0.6643724696356276,0.1138125440451021,2.610993657505285,2.9069767441860463,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,8,988.080108165741,0.6397597146611601,0.5801078669249016,0.6259793823747312,0.6893203883495146,0.112696734789758,2.613107822410148,3.017970401691332,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,9,988.080108165741,0.6309411096383261,0.5773561218703627,0.6174092937835011,0.6739482200647249,0.1144585388771435,2.613107822410148,2.9693446088794926,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,logistic,,,0,280.97880005836487,0.63552,0.5787051645355592,0.6319064837544246,0.8021001615508885,0.133638390238179,2.614572333685322,3.9852164730728616,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,logistic,,,1,280.97880005836487,0.637179696425657,0.5783692380624861,0.6330449264451375,0.7883683360258481,0.1304118268215417,2.614572333685322,3.855332629355861,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,logistic,,,2,280.97880005836487,0.6327665140614781,0.5753797239586916,0.630027446447721,0.7843534657478719,0.13176111697759,2.60506863780359,3.853220696937698,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,logistic,,,3,280.97880005836487,0.6133247297951282,0.551820871657351,0.6078665848993198,0.7705715443858938,0.1406195001759943,2.60506863780359,3.940865892291447,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
