type,fold,fold_time,experiment,vectorizer1,vectorizer2,model1,model2,f1_micro,f1_macro,f1_samples,recall_micro,recall_macro,hamming,avg_labels_true,avg_labels_pred,predict sum,true sum,best_threshold,best_params,config,scaler,pca,pca_after_fusion
text,2,39.114,threshold_0.7,distilbert,,logistic,,0.6201798201798202,0.5808084766676989,0.6011882909863782,0.6296146044624746,0.6475348826718769,0.1122328492147833,2.619553666312433,2.6992561105207225,2540,2465,0.7,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.1,distilbert,,logistic,,0.4583453444796771,0.3971448784539608,0.4560221429949363,0.9651962768110076,0.9257777801607192,0.33069341781063,2.6092925026399154,8.380147835269272,7936,2471,0.1,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.2,distilbert,,logistic,,0.5310982658959538,0.4663759469062911,0.5286591144532632,0.9295831647106436,0.8914804594094736,0.237944385779655,2.6092925026399154,6.524815205913411,6179,2471,0.2,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.3,distilbert,,logistic,,0.5760883861633566,0.5105308349058756,0.5732270838395442,0.8862808579522461,0.8412751163799224,0.1890766162149477,2.6092925026399154,5.41921858500528,5132,2471,0.3,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.4,distilbert,,logistic,,0.6049727821097542,0.5386582707965767,0.6014574947521094,0.8320518008903278,0.7913018431073312,0.1575149595212953,2.6092925026399154,4.568109820485745,4326,2471,0.4,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.5,distilbert,,logistic,,0.6215074723846654,0.5603506670483296,0.6168944630401864,0.774180493727236,0.7440405942881786,0.1366889592866361,2.6092925026399154,3.891235480464625,3685,2471,0.5,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.6,distilbert,,logistic,,0.6244588744588745,0.5689354919461619,0.6181821112127343,0.7005261027923917,0.6867727767190455,0.1221400915170714,2.6092925026399154,3.244984160506864,3073,2471,0.6,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,3,42.077,threshold_0.7,distilbert,,logistic,,0.6219438270357648,0.5776751994119593,0.6082882681087539,0.622824767300688,0.622837101613309,0.1097618209550627,2.6092925026399154,2.616684266103485,2478,2471,0.7,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,4,39.847,threshold_0.1,distilbert,,logistic,,0.4597060801075785,0.402119157932009,0.4584511430535192,0.9672594987873888,0.9376184895865802,0.3320935175345377,2.629117959617428,8.434643995749203,7937,2474,0.1,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,4,39.847,threshold_0.2,distilbert,,logistic,,0.5287435456110154,0.4673275707338156,0.5275980253554174,0.931285367825384,0.9018987489913328,0.2424725469358838,2.629117959617428,6.63230605738576,6241,2474,0.2,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
